id	filename	md5	size	state
2611e197-65ec-4141-84a4-88852910d1a6	nationwidechildrens.org_biospecimen.TCGA-AD-5900.xml	e5d0020181ab9c84f03b23d94fbaec3f	66842	live
d169e6dd-3737-45fb-80d9-635d9aa79e70	nationwidechildrens.org_biospecimen.TCGA-5M-AAT5.xml	34cd64388807d5d06d6f32f65605ad8b	48416	live
fbb54334-e9ce-4c16-bca5-183bfebb7d42	nationwidechildrens.org_biospecimen.TCGA-CM-6163.xml	47ecb4d8911c7645e148ed60284fde3a	69456	live
89720a71-710c-494b-826f-28c6909085b6	nationwidechildrens.org_biospecimen.TCGA-DM-A1DA.xml	8cdcd69fb4f9638d8e3dd83446d22fe5	71656	live
5d3fca49-2d3a-4b27-b3b5-b9302a20f439	nationwidechildrens.org_biospecimen.TCGA-AA-3815.xml	236b12cf5df4e884106cb7ca7b86fd86	94885	live
bd3a6b44-40da-4e7b-9de0-99876a0a75f6	nationwidechildrens.org_biospecimen.TCGA-AA-3864.xml	be8b010e8a8605185210d364d1530ccc	103911	live
9feb0cd3-1269-47aa-b17c-15f7861afa33	nationwidechildrens.org_biospecimen.TCGA-F4-6460.xml	5fbd715b3ba5b1a0ee658df9a0d4a50e	69646	live
84f1cda6-5fc1-4289-bdd6-7f633a47893e	nationwidechildrens.org_biospecimen.TCGA-AA-3692.xml	5a4d25a683365ad453f586b901ad19f5	95132	live
cc844d0f-cffc-401b-ba7c-018e8ecc2351	nationwidechildrens.org_biospecimen.TCGA-A6-2670.xml	7f1cad12920b19aa0eca2a249bef9e1f	79405	live
be424add-3d8f-45cc-bb02-7c2a28d2d0b6	nationwidechildrens.org_biospecimen.TCGA-D5-6529.xml	5fda3996f25720fa1b0f5accf889d411	69635	live
dd7df309-c1ec-495b-b3c0-26931c72ddd3	nationwidechildrens.org_biospecimen.TCGA-CA-5255.xml	5f40218c1542fde0a5a9f16815bfa84a	69437	live
7c16e6eb-10eb-4680-99f9-f59e6a6b7e00	nationwidechildrens.org_biospecimen.TCGA-D5-5541.xml	a45446f325d21c626dbf09f235ff560f	66711	live
