id	filename	md5	size	state
58a77e0a-aaf7-46b9-85c6-537d59604ce1	6057825028_R04C02_Red.idat	f6a5fc74b09af06df4b14d318a3d6261	8095236	live
68a45a40-6ba7-48c6-8842-cfb40a2059a2	6929718081_R05C02_Grn.idat	9175f6d6093a62fea60f67898c3610a7	8095268	live
20e53438-4405-4a19-b04e-96d7d9e47f13	6042308158_R01C01_Red.idat	43354f4123fa4fa6cb990e50df9de1d5	8095220	live
35483952-c0b3-44cb-8105-868711a7f3f2	6285625037_R04C01_Grn.idat	5c39aac384a36c6516fb12ecade6bd99	8095260	live
69663b29-cfbc-4d22-8239-3aaecf0d2fed	6042308165_R04C02_Red.idat	7e4102ea18ff7eef1ca4362d0714c0a8	8095212	live
1e9ba6af-e975-47fb-8125-057a7a1c7c57	6929718065_R04C02_Grn.idat	efc35f6135933ccf6dc0d60a4c6672fe	8095268	live
cc4b6c63-626b-4f7d-98be-64e2ef871eb0	6042308159_R04C02_Grn.idat	d9ba09d7ca57d0229415cabcbaf35a29	8095212	live
a4289d15-189f-47b0-bdb6-ca7e765f4b77	5775041086_R02C01_Red.idat	ac67a2c045becf1a39f3d17bf1458762	8091452	live
4c515f7e-20af-4f3c-9e71-10b85a8c5e53	5775041086_R04C01_Red.idat	f44eda717784888a5c44009be5a5f0dc	8091452	live
a91f2011-8788-47b9-8b3b-2cbd408fc964	9296931074_R02C01_Grn.idat	d6a60f21fe0fc41d30da103d70d51765	8095272	live
5de99a0d-eadf-4c46-a390-d05617678d16	6929718113_R04C02_Red.idat	be7f51537b5ac3f225f591d1cd649252	8095236	live
2e6e1201-35c9-4f2e-a9c0-28134b00c565	7796806109_R01C02_Grn.idat	6e9e02d110c7b21f5d522061ab5d7a64	8095246	live
fd1810ea-59ee-48ca-b691-8b64c9d9cd7f	6285625037_R05C02_Grn.idat	f2e79f80559a9bd3a6f36ce9286f9c8b	8095259	live
b8a4e5b3-a0b5-41fa-aea7-7a51d40d29f8	6285625085_R01C01_Grn.idat	302236387eff524c7402fd41caa4dc0b	8095258	live
44075eed-2fdc-4fa0-b3b0-22ea4d68320d	6055424097_R03C01_Grn.idat	729cfe1eba3504130c770f998e18221a	8091452	live
36836f0c-a6c5-43ee-9960-518b0275e370	6929718042_R04C02_Grn.idat	04a02013667dcc5b998c33358ab10f05	8095261	live
7f695eda-b2f8-488a-bd1d-fb7e3f0dfaac	9296931073_R05C02_Red.idat	abf04b49328e60069ee8169e6b761728	8095249	live
7964fad8-23f8-475f-8631-74bbdc2f8dd8	6929718081_R05C02_Red.idat	a611d5b30555499135340fce50e4d38b	8095268	live
4649af0c-b580-4974-b781-25036958cb58	6055424097_R06C01_Grn.idat	58318850d9b1b8fd37e57b24fb8cbba7	8091452	live
6642bccf-16bc-403f-b4cd-8c2160c632f5	6042308165_R05C02_Red.idat	44be11c271902ef297d37f4b6cea6540	8095212	live
